,fuel,Pc,eps,Cstar,MR,PcOvPe,subar,Tc,Tt,Te,Isp,gamma
6494,propane,26.5,1.0947314352662936,1630.16841862944,7.75,2.6159921026653503,3,3286.221694899383,3088.20807028287,2945.8248545793076,212.33161621498436,1.1573851946277078
6495,propane,26.5,1.0947314352662936,1630.16841862944,7.75,2.6159921026653503,2,3286.221694899383,3088.20807028287,2945.8248545793076,212.33161621498436,1.1573851946277078
6496,propane,27.0,1.105807924962207,1124.5629555750374,0.75,2.6653504442250737,3,1111.7005492878316,1048.2751634340493,1003.0539784494606,146.89233095559953,1.1431286915590122
6497,propane,27.0,1.105807924962207,1124.5629555750374,0.75,2.6653504442250737,2,1111.7005492878316,1048.2751634340493,1003.0539784494606,146.89233095559953,1.1431286915590122
6498,propane,27.0,1.1040938023013476,1168.8948283484115,1.0,2.6653504442250737,3,1176.631874610635,1106.0927304165084,1057.4213668223229,152.74559104575138,1.1486517476992757
6499,propane,27.0,1.1040938023013476,1168.8948283484115,1.0,2.6653504442250737,2,1176.631874610635,1106.0927304165084,1057.4213668223229,152.74559104575138,1.1486517476992757
6500,propane,27.0,1.1015604521964284,1202.9971604361142,1.25,2.6653504442250737,3,1236.2098284948097,1156.044133140922,1102.9982901726999,157.28037117406933,1.157314636132138
6501,propane,27.0,1.1015604521964284,1202.9971604361142,1.25,2.6653504442250737,2,1236.2098284948097,1156.044133140922,1102.9982901726999,157.28037117406933,1.157314636132138
6502,propane,27.0,1.0982747218684177,1231.2679964359777,1.5,2.6653504442250737,3,1297.092573099336,1203.5873536710421,1144.7354225619197,161.0772487638725,1.1690597851355515
6503,propane,27.0,1.0982747218684177,1231.2679964359777,1.5,2.6653504442250737,2,1297.092573099336,1203.5873536710421,1144.7354225619197,161.0772487638725,1.1690597851355515
6504,propane,27.0,1.094226053675966,1256.2984030016712,1.75,2.6653504442250737,3,1364.0405063858398,1252.3088067799413,1185.7754617400374,164.47783884836628,1.1841791662982415
6505,propane,27.0,1.094226053675966,1256.2984030016712,1.75,2.6653504442250737,2,1364.0405063858398,1252.3088067799413,1185.7754617400374,164.47783884836628,1.1841791662982415
6506,propane,27.0,1.089431426789223,1279.7923784168822,2.0,2.6653504442250737,3,1439.7374183633783,1304.712259765935,1228.3475002643536,167.69070233853927,1.203074773877359
6507,propane,27.0,1.089431426789223,1279.7923784168822,2.0,2.6653504442250737,2,1439.7374183633783,1304.712259765935,1228.3475002643536,167.69070233853927,1.203074773877359
