fuel,Pc,eps,Cstar,MR,PcOvPe,subar,Tc,Tt,Te,Isp,gamma
C2H5OH,39.5,1.25734842966443,1285.3283644265694,1.75,3.8993089832181633,2,1630.7610460140645,1426.9615178164695,1220.2716849497835,175.86548479057217,1.2493386528564436
propane,39.5,1.2719602809191854,1330.37730865309,2.5,3.8993089832181633,3,1622.0891617596762,1439.4445986456367,1258.7292327975629,182.42226586044816,1.2207336211578048
propane,39.5,1.2719602809191854,1330.37730865309,2.5,3.8993089832181633,2,1622.0891617596762,1439.4445986456367,1258.7292327975629,182.42226586044816,1.2207336211578048
methane,39.5,1.2740175277055814,1433.6714699992951,2.25,3.8993089832181633,3,1585.644402858327,1412.3892239892523,1240.3103311933037,196.625468596897,1.2181096682671693
methane,39.5,1.2740175277055814,1433.6714699992951,2.25,3.8993089832181633,2,1585.644402858327,1412.3892239892523,1240.3103311933037,196.625468596897,1.2181096682671693
propane,39.5,1.2827726972637672,1308.1177858324374,2.25,3.8993089832181633,3,1539.0435194003048,1380.987086084468,1222.6453637823415,179.56041161047887,1.2019710562157038
propane,39.5,1.2827726972637672,1308.1177858324374,2.25,3.8993089832181633,2,1539.0435194003048,1380.987086084468,1222.6453637823415,179.56041161047887,1.2019710562157038
methane,39.5,1.2827992402397848,1420.7591073916988,2.0,3.8993089832181633,3,1515.2914003122833,1363.2436853810682,1209.079818565599,194.99100636593408,1.2031960972167774
methane,39.5,1.2827992402397848,1420.7591073916988,2.0,3.8993089832181633,2,1515.2914003122833,1363.2436853810682,1209.079818565599,194.99100636593408,1.2031960972167774
propane,39.5,1.2930173733234414,1285.670245378337,2.0,3.8993089832181633,3,1460.2556668635293,1326.5609156075184,1187.8689403088342,176.59458360521194,1.1857791975495613
propane,39.5,1.2930173733234414,1285.670245378337,2.0,3.8993089832181633,2,1460.2556668635293,1326.5609156075184,1187.8689403088342,176.59458360521194,1.1857791975495613
methane,39.5,1.2909745231215712,1408.406361207951,1.75,3.8993089832181633,3,1448.988790922417,1316.9160908444885,1178.3964902688156,193.3814880501681,1.1902303783478372
methane,39.5,1.2909745231215712,1408.406361207951,1.75,3.8993089832181633,2,1448.988790922417,1316.9160908444885,1178.3964902688156,193.3814880501681,1.1902303783478372
propane,39.5,1.3020986478633,1262.4311082975887,1.75,3.8993089832181633,3,1388.4549073272296,1276.074348364487,1153.5417067986834,173.46868007408014,1.1722436226191404
propane,39.5,1.3020986478633,1262.4311082975887,1.75,3.8993089832181633,2,1388.4549073272296,1276.074348364487,1153.5417067986834,173.46868007408014,1.1722436226191404
methane,39.5,1.2982622963004562,1396.286321014641,1.5,3.8993089832181633,3,1387.694493664765,1272.9746674455191,1147.5738757003694,191.77089560649017,1.179245187634647
methane,39.5,1.2982622963004562,1396.286321014641,1.5,3.8993089832181633,2,1387.694493664765,1272.9746674455191,1147.5738757003694,191.77089560649017,1.179245187634647
C2H5OH,39.5,1.293651556712199,1224.3781689853836,1.5,3.8993089832181633,3,1375.9967664174983,1251.1960179306611,1125.3348484806702,168.24209558195798,1.1857237695588625
C2H5OH,39.5,1.293651556712199,1224.3781689853836,1.5,3.8993089832181633,2,1375.9967664174983,1251.1960179306611,1125.3348484806702,168.24209558195798,1.1857237695588625
methane,39.5,1.3045414161664393,1383.8354589714245,1.25,3.8993089832181633,3,1330.841888503896,1230.3468066338417,1115.6749902450902,190.0953810438216,1.1701971475149
methane,39.5,1.3045414161664393,1383.8354589714245,1.25,3.8993089832181633,2,1330.841888503896,1230.3468066338417,1115.6749902450902,190.0953810438216,1.1701971475149
propane,39.5,1.3098436450911553,1237.302610126379,1.5,3.8993089832181633,3,1323.6560772137225,1228.2135202873678,1118.4437419721023,170.05963466949777,1.161168816698117
propane,39.5,1.3098436450911553,1237.302610126379,1.5,3.8993089832181633,2,1323.6560772137225,1228.2135202873678,1118.4437419721023,170.05963466949777,1.161168816698117
methane,39.5,1.3097426501903613,1370.1839000263324,1.0,3.8993089832181633,3,1276.5457954515118,1187.358905506413,1081.3712514216477,188.240213294234,1.1630846814489002
methane,39.5,1.3097426501903613,1370.1839000263324,1.0,3.8993089832181633,2,1276.5457954515118,1187.358905506413,1081.3712514216477,188.240213294234,1.1630846814489002
propane,39.5,1.3162576679621767,1208.6661970277114,1.25,3.8993089832181633,3,1263.28012818274,1180.6580802822746,1080.8062646884257,166.1547909047177,1.1523778799232949
propane,39.5,1.3162576679621767,1208.6661970277114,1.25,3.8993089832181633,2,1263.28012818274,1180.6580802822746,1080.8062646884257,166.1547909047177,1.1523778799232949
C2H5OH,39.5,1.321419048822022,1183.806507129484,1.25,3.8993089832181633,3,1257.3434003317425,1174.5607851246252,1083.5242567940718,163.17676322495174,1.1457621698797589
C2H5OH,39.5,1.321419048822022,1183.806507129484,1.25,3.8993089832181633,2,1257.3434003317425,1174.5607851246252,1083.5242567940718,163.17676322495174,1.1457621698797589
methane,39.5,1.3137740505746711,1353.9107833948708,0.75,3.8993089832181633,3,1221.8411824216892,1141.589538271313,1042.7016225234242,186.00843418815023,1.1579736607145368
methane,39.5,1.3137740505746711,1353.9107833948708,0.75,3.8993089832181633,2,1221.8411824216892,1141.589538271313,1042.7016225234242,186.00843418815023,1.1579736607145368
